company,date,close,final_sentiment,sentiment_words
amazon,2018-02-20,1468.0,2.0,1.5
amazon,2018-02-21,1483.0,2.0,2.0
amazon,2018-02-22,1485.0,2.0,2.0
amazon,2018-02-23,1500.0,2.0,2.0
amazon,2018-02-26,1522.0,2.0,1.5
amazon,2018-02-27,1512.0,1.8,1.2
amazon,2018-03-02,1500.0,2.0,1.0
amazon,2018-03-05,1524.0,2.0,1.0
amazon,2018-03-06,1538.0,2.0,1.5555555555555556
amazon,2018-03-07,1545.0,2.0,1.625
amazon,2018-03-08,1552.0,2.0,1.7142857142857142
amazon,2018-03-09,1579.0,2.0,1.5
amazon,2018-03-12,1598.0,2.0,1.3333333333333333
amazon,2018-03-13,1588.0,2.0,1.5
amazon,2018-03-14,1591.0,2.0,1.6
amazon,2018-03-15,1582.0,1.5,1.3333333333333333
boeing,2018-03-01,350.0,2.0,1.0
boeing,2018-03-02,345.0,2.0,1.5
boeing,2018-03-05,353.0,1.8,1.2
boeing,2018-03-06,349.0,2.0,1.6666666666666667
boeing,2018-03-07,347.0,2.0,1.7142857142857142
boeing,2018-03-08,349.0,2.0,2.0
boeing,2018-03-09,355.0,2.0,2.0
boeing,2018-03-13,339.0,2.0,1.6666666666666667
boeing,2018-03-14,330.0,1.4,1.0
boeing,2018-03-15,330.0,1.5,1.0
facebook,2018-02-20,176.0,1.6666666666666667,1.3333333333333333
facebook,2018-02-21,178.0,1.5,1.5
facebook,2018-02-22,179.0,1.0,1.0
facebook,2018-02-23,183.0,2.0,1.5
facebook,2018-02-26,185.0,2.0,1.5
facebook,2018-02-27,181.0,1.75,1.25
facebook,2018-02-28,178.0,2.0,1.5
facebook,2018-03-01,176.0,2.0,1.5
facebook,2018-03-02,177.0,1.5,1.5
facebook,2018-03-05,180.0,1.6666666666666667,1.3333333333333333
facebook,2018-03-06,180.0,1.8333333333333333,1.6666666666666667
facebook,2018-03-07,184.0,1.75,1.25
facebook,2018-03-08,182.0,2.0,1.0
facebook,2018-03-09,185.0,1.8333333333333333,1.3333333333333333
facebook,2018-03-12,185.0,1.6666666666666667,1.6666666666666667
facebook,2018-03-13,182.0,2.0,1.4
facebook,2018-03-14,184.0,1.6666666666666667,1.0
facebook,2018-03-15,184.0,2.0,1.6
google,2018-03-12,1166.0,1.8571428571428572,1.7142857142857142
google,2018-03-13,1140.0,2.0,1.4
google,2018-03-14,1149.0,1.7142857142857142,1.2857142857142858
google,2018-03-15,1151.0,2.0,1.3333333333333333
microsoft,2018-03-01,93.0,2.0,1.0
microsoft,2018-03-05,94.0,2.0,2.0
microsoft,2018-03-06,93.0,2.0,1.5
microsoft,2018-03-08,94.0,2.0,2.0
microsoft,2018-03-09,97.0,2.0,1.6666666666666667
microsoft,2018-03-12,97.0,2.0,2.0
microsoft,2018-03-13,94.0,1.3333333333333333,1.0
microsoft,2018-03-15,94.0,2.0,1.3333333333333333
netflix,2018-02-22,278.0,2.0,1.0
netflix,2018-02-27,291.0,2.0,1.0
netflix,2018-02-28,291.0,2.0,1.0
netflix,2018-03-05,315.0,2.0,1.0
netflix,2018-03-06,325.0,2.0,1.6666666666666667
netflix,2018-03-07,321.0,2.0,2.0
netflix,2018-03-08,317.0,2.0,2.0
netflix,2018-03-09,331.0,2.0,1.6
netflix,2018-03-12,321.0,2.0,1.6666666666666667
netflix,2018-03-13,316.0,2.0,2.0
netflix,2018-03-14,322.0,2.0,2.0
netflix,2018-03-15,321.0,2.0,1.5
