Date,Open,High,Low,Close,Volume
10-Jan-18,109.47,110.7,109.39,110.25,15834468
11-Jan-18,110.67,110.93,110.05,110.84,13676788
12-Jan-18,111.65,112.85,110.84,112.67,18884229
16-Jan-18,111.51,113.43,111.07,112.27,22703336
17-Jan-18,111.89,113.3,111.31,112.99,14940266
18-Jan-18,112.76,113.72,112.27,113.26,14572911
19-Jan-18,113.94,114.34,112.8,113.01,18785468
22-Jan-18,112.66,114.39,112.5,114.33,12475654
23-Jan-18,113.67,114.64,113.35,114.21,12320751
24-Jan-18,114.86,116,114.66,115.67,15904504
25-Jan-18,116.04,116.17,115.08,115.7,13509957
26-Jan-18,115.7,116.32,114.96,116.32,13883875
29-Jan-18,116.02,117.35,116.02,116.2,11679919
30-Jan-18,115.53,116.6,114.98,115.11,14279124
31-Jan-18,115.65,116.66,115.16,115.67,13141423
1-Feb-18,115.77,116.98,115.48,116.87,13800613
2-Feb-18,116.49,116.92,114.09,114.28,16477307
5-Feb-18,113,114.59,103.98,108.8,30097591
6-Feb-18,106.85,112.48,106.61,112.11,33114833
7-Feb-18,111.55,114.45,111.15,112.87,21878324
8-Feb-18,113.11,113.11,107.84,107.88,27425837
9-Feb-18,109.1,111.05,106.23,110.04,28188027
12-Feb-18,111.17,112.72,110.07,111.74,18043325
13-Feb-18,111.32,113.05,110.8,112.43,16358181
14-Feb-18,112.63,115.27,112.53,115.03,15186858
15-Feb-18,115.74,115.98,114.22,115.51,12130197
16-Feb-18,114.55,116.07,114.5,114.68,13214253
20-Feb-18,114.65,115.39,113.97,114.71,13461495
21-Feb-18,115,117.45,114.67,115.19,14212461
22-Feb-18,115.5,116.42,114.76,114.98,17070356
23-Feb-18,115.31,117.39,115.31,117.31,12162523
26-Feb-18,118.14,118.9,117.32,118.77,16511229
27-Feb-18,118.91,119.33,117.35,117.36,17563345
28-Feb-18,117.82,118.49,115.34,115.5,17735637
1-Mar-18,115.48,116.64,112.65,113.43,18690017
2-Mar-18,112.39,113.56,111.12,113.32,18353697
5-Mar-18,112.05,115.92,111.89,115.06,13933039
6-Mar-18,115.64,115.82,114.32,115.16,10674360
7-Mar-18,113.75,115.1,113.11,114.73,13006514
8-Mar-18,115.11,115.23,113.21,114.74,11173721
9-Mar-18,116.55,118.08,115.67,118.04,15366583
12-Mar-18,118,118.75,117.25,117.66,12090375
13-Mar-18,118.2,118.47,115.83,116.25,13312340
14-Mar-18,116.56,116.59,114.6,114.95,12905124
15-Mar-18,115.87,116,114.83,115.24,8747977
